Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Genres
36014987,Il giardino dei segreti,Thea Stilton,"Stilton, Thea",Tea Stilton,"=""8858518179""","=""9788858518175""",5.0,Edizioni Piemme,Kindle Edition,128.0,2017.0,,2022/08/01,2022/09/03,,,read,,,,1,0,Unknown
53079546,Harry Potter e il calice di fuoco,J.K. Rowling,"Rowling, J.K.",Beatrice Masini,"=""8831003410""","=""9788831003414""",5.0,Salani,Hardcover,668.0,2020.0,2000.0,2022/08/09,2022/08/05,,,read,,,,1,0,Unknown
29856360,Cinque amiche per un musical,Thea Stilton,"Stilton, Thea","Geronimo Stilton, Tea Stilton","=""8856645912""","=""9788856645910""",5.0,Piemme,Paperback,128.0,2015.0,2010.0,2022/08/13,2022/09/03,,,read,,,,1,0,Unknown
34401498,"L'amore va in scena a Topford! (Vita al College, #1)",Thea Stilton,"Stilton, Thea","Tea Stilton, Elisabetta Dami","=""8856604353""","=""9788856604351""",5.0,Piemme,Paperback,128.0,2009.0,2010.0,2022/07/28,2022/09/28,,,read,,,,2,0,Unknown
3399931,"Harry Potter e l'Ordine della Fenice (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",,"=""8884513448""","=""9788884513441""",5.0,Salani,Hardcover,807.0,2003.0,2003.0,2022/08/16,2022/09/02,,,read,,,,1,0,Unknown
41642485,Il diario segreto di Colette (Vita al college),Thea Stilton,"Stilton, Thea",Tea Stilton,"=""8856604361""","=""9788856604368""",5.0,Piemme Junior,Paperback,119.0,2009.0,2010.0,2022/08/18,2022/09/25,,,read,,,,1,0,Unknown
3399930,"Harry Potter e il Principe Mezzosangue (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.","Beatrice Masini, Serena Daniele, Daniela Gamba","=""8884516374""","=""9788884516374""",5.0,Salani Editore,Hardcover,591.0,2005.0,2005.0,2022/09/02,2022/09/17,,,read,,,,1,0,Unknown
50962697,Mistero dietro le quinte,Thea Stilton,"Stilton, Thea",Tea Stilton,"=""8856651688""","=""9788856651683""",5.0,Piemme,Paperback,0.0,2016.0,2013.0,2022/09/08,2022/09/02,,,read,,,,1,0,Unknown
3304459,"Harry Potter e i Doni della Morte (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",Beatrice Masini,"=""8884518784""","=""9788884518781""",5.0,Salani ,Hardcover,701.0,2008.0,2007.0,2022/09/08,2022/09/17,,,read,,,,1,0,Unknown
46017962,Incantesimi in scena (Il regno degli unicorni),Linda Chapman,"Chapman, Linda",,"=""8847725534""","=""9788847725539""",5.0,EL,Paperback,0.0,2009.0,2008.0,2019/07/07,2019/07/21,,,read,,,,2,0,Unknown
52766642,Un cucciolo in cerca di casa,Thea Stilton,"Stilton, Thea",Tea Stilton,"=""8856641275""","=""9788856641271""",5.0,Piemme,Paperback,0.0,2015.0,,2022/09/29,2022/09/30,,,read,,,,1,0,Unknown
16149494,L'arcobalena,Massimo Sardi,"Sardi, Massimo",,"=""8809016459""","=""9788809016453""",5.0,Giunti Junior,Paperback,64.0,2000.0,2000.0,2022/10/02,2022/10/02,,,read,,,,1,0,Unknown
42073240,Un orsetto troppo ordinato,Colin West,"West, Colin",,"=""""","=""""",4.0,,Unknown Binding,,,,2022/10/12,2022/10/12,,,read,,,,1,0,Unknown
30374806,Melowy - La notte del coraggio,Danielle Star,"Star, Danielle",,"=""8891519812""","=""9788891519818""",5.0,Fabbri Editori,Hardcover,95.0,2016.0,,2019/11/08,2019/11/16,,,read,,,,2,0,Unknown
42112564,Amelia Fang and the Half-Moon Holiday (The Amelia Fang Series),Laura Ellen Anderson,"Anderson, Laura Ellen",,"=""1405292091""","=""9781405292092""",5.0,Egmont,Paperback,240.0,2019.0,2018.0,2022/10/24,2022/10/26,,,read,Italian version,,,1,0,Unknown
53079441,Harry Potter e il prigioniero di Azkaban,J.K. Rowling,"Rowling, J.K.",Beatrice Masini,"=""8831003402""","=""9788831003407""",5.0,Salani,Hardcover,406.0,2020.0,1999.0,2022/07/26,2022/12/12,,,read,,,,2,0,Unknown
49889725,Tea Sisters in pericolo!,Thea Stilton,"Stilton, Thea",Tea Stilton,"=""8856645971""","=""9788856645972""",5.0,Piemme,Paperback,0.0,2015.0,2011.0,2022/10/29,2023/03/18,,,read,,,,1,0,Unknown
61208813,"Il senzacoda. Storia di una bambina fifona, mostri impossibili e gatti straordinari",Loredana Lipperini,"Lipperini, Loredana",Stefano Tambellini,"=""8831011928""","=""9788831011921""",5.0,Salani,Hardcover,176.0,2022.0,,2022/12/01,2022/09/17,,,read,,,,1,0,Unknown
74044414,100 Fatti Magici e Dove Trovarli: La Fantastica Raccolta di Curiosità e Aneddoti sul Mondo di Harry Potter,Willow Mitchell,"Mitchell, Willow",,"=""""","=""9798363354519""",5.0,Independently published,Paperback,102.0,2022.0,,2022/12/08,2022/12/21,,,read,,,,1,0,Unknown
